video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
0hJxcBdRlYw,Tech With Lucy,5 Intermediate AWS Cloud Projects To Get You Hired (2025),"👩‍💻 Explore SkillUp by Simplilearn FREE courses & earn certifications: https://www.simplilearn.com/skillup-free-online-courses?utm_campaign=TechwithLucy30Apr2025&utm_medium=INFLCR_SkillUP&utm_source=Youtube

Want AWS projects to build & showcase on your portfolio? In this video, I share 5 Intermediate-level projects to help you stand out, and get hired.

Enjoy! Let me know in the comments if you find videos like this helpful 😊

▬▬▬ 🙋‍♀️ My Project Courses  ▬▬▬
📙 5 Beginner AWS Project Step-by-step Guide: https://learn.techwithlucy.com/p/5-beginner-aws-cloud-projects
📙 5 Intermediate AWS Project Step-by-step Guide: https://learn.techwithlucy.com/p/5-intermediate-aws-cloud-projects

(Use code ""YouTube10"" for 10% off)

▬▬▬▬ ⏱ Timestamps ▬▬▬▬
0:00 Introduction
1:03 Project 1
2:44 Project 2
4:36 Project 3
5:18 Project 4
7:05 Project 5

▬▬▬▬ New to the ""Tech With Lucy""? ⬇️  ▬▬▬▬
• ☁️ My 'Zero To Cloud' Learning Platform: https://www.zerotocloud.co/
• 📸 Follow me on Instagram - https://www.instagram.com/techwithlucy/
• 👩‍💻 50K+ Community on LinkedIn  - https://www.linkedin.com/in/lucywang-/
• 🗞 Free Cloudbites.ai E-Newsletter: https://www.cloudbites.ai/subscribe

🔔 Subscribe & turn on notifications for more videos like this!","['aws cloud', 'cloud projects']",2025-04-30T12:45:43Z,1562,153,0,5,PT8M47S,hd,false
b3k45SnSBBw,Tech With Lucy,The Future of Cloud is here. Top 5 Trends You NEED to Know,"👉 Varonis Cloud Data Risk Assessment (Free): https://hubs.ly/Q03f-bh20

In this video, I share 5 key Cloud Computing Trends to watch out for.

These trends will shape the way companies operate, how cloud is used, and the hiring market for IT professionals.

Let me know in the comments if you found it helpful! 😊

▬▬▬▬ ⏱ Timestamps ▬▬▬▬
0:00 Introduction
1:03 Trend 1: AI-In-Everything
3:19 Trend 2: Cost Optimisation & Sustainability
4:35 Trend 3: Security is a Core Expectation
5:24 Varonis Free Data Risk Assessment
6:13 Trend 4: Serverless Is Becoming the Default
7:43 Trend 5: From Multi-Cloud to Cloud-Agnostic

▬▬▬▬ 📚 Resources Mentioned  ▬▬▬▬
📘 My All-in-One Cloud Career Bundle: https://learn.techwithlucy.com/p/zero-to-cloud-full-12-month-access
📙 5 Beginner AWS Project Step-by-step Guide: https://learn.techwithlucy.com/p/5-beginner-aws-cloud-projects
📙 5 Intermediate AWS Project Step-by-step Guide: https://learn.techwithlucy.com/p/5-intermediate-aws-cloud-projects

▬▬▬▬ New to the ""Tech With Lucy""? ⬇️  ▬▬▬▬
• ☁️ My 'Zero To Cloud' Learning Platform: https://www.zerotocloud.co/
• 📸 Follow me on Instagram - https://www.instagram.com/techwithlucy/
• 👩‍💻 50K+ Community on LinkedIn  - https://www.linkedin.com/in/lucywang-/
• 🗞 Free Cloudbites.ai E-Newsletter: https://www.cloudbites.ai/subscribe

🔔 Subscribe & turn on notifications for more videos like this!",,2025-04-13T12:21:24Z,22440,581,0,53,PT9M19S,hd,false
CewrCUmwm90,Tech With Lucy,Build With Me: Automating My Life with AWS & AI (Cloud Project),"👉 Try out CodeRabbit for FREE: https://coderabbit.ai/lucy

Welcome back to another ""build with me"" video! Follow along this tutorial to build an ""Automated Receipt Processing Tool"".

This is a great project to add to your resume, and it's within the AWS Free Tier. It takes around 30 - 60 minutes to complete.

▬▬▬▬ 📚 My Resources  ▬▬▬▬
📙 5 Beginner AWS Project Step-by-step Guide: https://learn.techwithlucy.com/p/5-beginner-aws-cloud-projects
📙 5 Intermediate AWS Project Step-by-step Guide: https://learn.techwithlucy.com/p/5-intermediate-aws-cloud-projects

▬▬▬▬ Project Tutorial Resource ▬▬▬▬
🔗 Lambda Code & Explanation: https://github.com/techwithlucy/ztc-projects-intermediate/tree/main/projects/intermediate/project3/lambda-code
🔗 Receipts: https://github.com/techwithlucy/ztc-projects-intermediate/tree/main/projects/intermediate/project3/receipts

▬▬▬▬ New to the ""Tech With Lucy""? ⬇️  ▬▬▬▬
• ☁️ My 'Zero To Cloud' Learning Platform: https://www.zerotocloud.co/
• 📸 Follow me on Instagram - https://www.instagram.com/techwithlucy/
• 👩‍💻 50K+ Community on LinkedIn  - https://www.linkedin.com/in/lucywang-/
• 🗞 Free Cloudbites.ai E-Newsletter: https://www.cloudbites.ai/subscribe

🔔 Subscribe & turn on notifications for more videos like this!",,2025-04-07T12:34:01Z,19331,402,0,34,PT9M49S,hd,false
A8K-qR3w4QM,Tech With Lucy,How I became a Full-Time Tech YouTuber (and how you can too!),"📚 How to use AI to Generate High Impact Content: https://clickhubspot.com/ot5s

Want to start your own Tech YouTube channel? ⬇️

🎓 Join my ""Part-Time Tech YouTuber"" course & community: https://learn.techwithlucy.com/p/the-part-time-tech-youtuber

In this video, I share exactly how I become a full-time Tech YouTuber, and how you can to!

▬▬▬▬ Timestamps ⏱ ▬▬▬▬
0:00 Introduction
2:04 Phase 1 - Experimental Phase
3:03 Phase 2 - Finding Your Niche
3:52 Phase 3 - Growing Your Channel
5:21 How YouTubers make money
7:01 My Part-Time Tech YouTuber Course
7:55 Use AI to your advantage
8:41 3 Biggest Mistakes YouTubers make

▬▬▬▬ New to the ""Tech With Lucy""? ⬇️  ▬▬▬▬
• ☁️ My 'Zero To Cloud' Learning Platform: https://www.zerotocloud.co/
• 📸 Follow me on Instagram - https://www.instagram.com/techwithlucy/
• 👩‍💻 50K+ Community on LinkedIn  - https://www.linkedin.com/in/lucywang-/
• 🗞 Free Cloudbites.ai E-Newsletter: https://www.cloudbites.ai/subscribe

🔔 Subscribe & turn on notifications for more videos like this!

#YouTube #YouTuber #Tech #AWS",,2025-04-03T13:03:59Z,17887,148,0,19,PT9M43S,hd,false
98tVwxSSSXI,Tech With Lucy,I Quit My High-Paying Job at AWS with No Backup Plan | 2 Year Update,"Two years ago, I left my job at AWS to become a full-time YouTuber. Let's chat about what has happened since then... ☕️

Want to start your own Tech YouTube channel? ⬇️

🎓 Join my ""Part-Time Tech YouTuber"" course & community: https://learn.techwithlucy.com/p/the-part-time-tech-youtuber

📚 Hubspot's free ""100 Side Hustles Ideas"" database: https://clickhubspot.com/sno8

▬▬▬▬ Timestamps ⏱ ▬▬▬▬
0:00 Introduction
1:22 My Journey with YouTube
2:04 Why I quit my job at AWS
3:25 Biggest wins I'd like to share
4:41 New Course! 'The Part-Time Tech YouTuber'
5:14 Hubspot's Free Guide
6:05 The challenges I've faced

▬▬▬▬ New to the ""Tech With Lucy""? ⬇️  ▬▬▬▬
• ☁️ My 'Zero To Cloud' Learning Platform: https://www.zerotocloud.co/
• 📸 Follow me on Instagram - https://www.instagram.com/techwithlucy/
• 👩‍💻 50K+ Community on LinkedIn  - https://www.linkedin.com/in/lucywang-/
• 🗞 Free Cloudbites.ai E-Newsletter: https://www.cloudbites.ai/subscribe

🔔 Subscribe & turn on notifications for more videos like this!

#YouTube #YouTuber #Tech #AWS",,2025-03-30T11:45:01Z,24982,329,0,37,PT8M4S,hd,false
Gih3WDmZU9A,Tech With Lucy,Want to become a Tech YouTuber? Check out my new course!,"Here's a Chapter 1 preview of my new course: ""The Part-Time Tech YouTuber""!

Ever wanted to start your own Tech YouTube channel?

🙋‍♀️ This course breaks down exactly I grew my YT channel Tech With Lucy from 0 to 190K.

🎉 I'm excited to share that my course is now live & accepting enrolments.

🔥 Use code “LAUNCH50” to get 50% off (Only for the next 24 Hours)
🔗 Enrol now: https://learn.techwithlucy.com/p/the-part-time-tech-youtuber

📕 What’s inside:

- Picking the right niche & content style
- Scripting, filming, editing & growing on YouTube
- Building a sustainable brand long-term
... and more.

💬 You’ll also get access to a dedicated Slack community, where you’ll have direct access to me and others on the same journey.

Let me know if you have any questions, and I look forward to welcoming you in the community 😊",,2025-03-29T22:58:26Z,22354,74,0,7,PT1M43S,hd,false
zsjSONTtu74,Tech With Lucy,I tried 50 AWS Cloud Courses... Here are Top 5,"Want to know the best courses to learn AWS? 📚

I tried over 50 AWS courses, and found the best ones. Now, I'm 6x AWS Certified, and I'd like to reveal these resources with you.

Here are the top 5:

1. Stephane Maarek's Certification Courses: https://geni.us/udemy-stephane-ccp
2. Adrian Cantrill's Certification Courses: https://geni.us/adrian-cantrill
3. Datacamp's AWS Cloud Practitioner Cert Track: https://datacamp.pxf.io/xL5Bnx
4. My Tech With Lucy / Zero To Cloud Courses: https://www.zerotocloud.co/ & https://learn.techwithlucy.com/
5. Tutorials Dojo Practice Exams: https://geni.us/udemy-jon-bonso-ccp

▬▬▬▬ Timestamps ⏱ ▬▬▬▬
0:00 Introduction
1:03 Resource 1
2:01 Resource 2
3:23 Resource 3
4:39 Resource 4
5:36 Resource 5

▬▬▬▬ New to the ""Tech With Lucy""? ⬇️  ▬▬▬▬
• 📸 Follow me on Instagram - https://www.instagram.com/techwithlucy/
• 👩‍💻 50K+ Community on LinkedIn  - https://www.linkedin.com/in/lucywang-/
• 🗞 My Free Cloudbites.ai E-Newsletter: https://www.cloudbites.ai/subscribe

🔔 Subscribe for more AWS / tech / career tips!

#AWS #tech #datacamp #udemy #cloud",,2025-03-23T12:05:15Z,15220,778,0,50,PT6M47S,hd,false
EiGT44-MCWk,Tech With Lucy,"🤖 AI Tools Series, Ep2: SysAid",Want to learn more? Make sure to see the unveiling of SysAid AI Agents at the launch event (March 25: https://www.sysaid.com/ai-agent-builder?utm_source=youtube&utm_medium=cpc&utm_campaign=lucy,,2025-03-20T23:08:51Z,20274,9963,0,0,PT37S,hd,false
P1JGnk1_2uY,Tech With Lucy,Day In My Life | Learning about AI Agents at Salesforce TDX,"Come with me as I learn about AI Agents! 🤖

The future of AI is here: AI agents are a must-learn this year. My experience at Salesforce TDX was mind-blowing. So much to explore, and dive into.

Want to learn more? (Links mentioned) ⬇️

🔗 Salesforce State of AI Report: https://www.salesforce.com/news/stories/agentic-ai-developer-future-sentiment/?&utm_source=youtube&utm_medium=organic-social&utm_campaign=amer_sfnewsaw&utm_content=influencer-lucy 
🔗 New Salesforce Developer Edition: https://developer.salesforce.com/blogs/2025/03/introducing-the-new-salesforce-developer-edition-now-with-agentforce-and-data-cloud?&utm_source=youtube&utm_medium=organic-social&utm_campaign=amer_sfnewsaw&utm_content=influencer-lucy 
🔗 Check out AgentExchange: https://www.salesforce.com/news/press-releases/2025/03/04/agentexchange-announcement/?&utm_source=youtube&utm_medium=organic-social&utm_campaign=amer_sfnewsaw&utm_content=influencer-lucy 

What are your thoughts on AI Agents? 🤔 Let me know in the comments!

▬▬▬▬ Timestamps ⏱  ▬▬▬▬
0:00 Introduction
0:29 Badge Collection
0:53 The Main Keynote Session
2:03 Keynote Reflection & Announcements
3:18 Building an AI Agent
3:42 Agentforce Showcase
4:11 Interview with Christophe, Salesforce SVP
6:50 Interview with Maham, Salesforce Cloud Architect
8:36 Tour of Salesforce Tower, with @TechWithTim 

▬▬▬▬ New to the ""Tech With Lucy""? ⬇️  ▬▬▬▬
• 📸 Follow me on Instagram - https://www.instagram.com/techwithlucy/
• 👩‍💻 50K+ Community on LinkedIn  - https://www.linkedin.com/in/lucywang-/
• 🗞 My Free Cloudbites.ai E-Newsletter: https://www.cloudbites.ai/subscribe

🔔 Subscribe for more content like this!

#ai #salesforce #salesforcetdx #salesforcepartner @salesforce",,2025-03-20T12:00:36Z,16642,134,0,15,PT9M32S,hd,false
25veHOXproQ,Tech With Lucy,How I would Break Into Tech in 90 Days (& Get Hired),"If I had to start over, this is exactly how I’d land a tech job in 90 days (without wasting time).

💡 Want to fast-track your career? Get $600 off Careerist’s QA bootcamp (Code: LUCY): https://crst.co/6Zl33
📞 Want tailored advice? Book a 1:1 mentoring call with me: https://topmate.io/lucywang

This video covers:
✅ The best beginner-friendly tech roles
✅ How to gain hands-on experience & build real projects
✅ My exact job application & interview strategy

📌 Resources Mentioned:
▶ My 5 Beginner AWS Projects: https://learn.techwithlucy.com/p/5-beginner-aws-cloud-projects
▶ My Interview Mastery Course: https://learn.techwithlucy.com/p/aws-interview-mastery

▬▬▬▬ New to the ""Tech With Lucy""? ⬇️  ▬▬▬▬
• 📸 Follow me on Instagram - https://www.instagram.com/techwithlucy/
• 👩‍💻 50K+ Community on LinkedIn  - https://www.linkedin.com/in/lucywang-/
• 🗞 My Free Cloudbites.ai E-Newsletter: https://www.cloudbites.ai/subscribe

🔔 Subscribe for more tech / career tips! 

#tech #advice #careerist, #careeristbootcamp","['tech', 'how to get hired in tech', 'how to land a job in tech', 'tech job', 'tech careers', 'cloud', 'aws', 'how to learn tech']",2025-03-18T11:29:21Z,30066,1465,0,68,PT9M1S,hd,false
