video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
p1L3tn-r6aE,Vicky Zhao [BEEAMP],What's more important? Ideas or Execution?,"Get the 5 frameworks that changed my life 👉 http://tinyurl.com/5FRAMEWORKS

Always have something to say when you're chatting with strangers! Use this 1 question, 1 coaching technique, and 1 balanced conversation gage! 

⚡️More Framework & Mental Models⚡️
» Systems Thinking: https://www.youtube.com/watch?v=VUXeQGsVbqU
» How to Think Fast Before You Speak: Framework Thinking https://youtu.be/lcyHC9HLTzc?si=vT_TksJcWXstpdhW
» Taking smart notes: https://youtu.be/5O46Rqh5zHE
» Charlie Munger's mental models: https://www.youtube.com/watch?v=ZZFbDrenepY
» Clear communication frameworks: https://youtu.be/pd36Jay0B_8
» Presentation frameworks: https://youtu.be/pd36Jay0B_8


🕐Timestamps
00:00 What's more important? Ideas or Execution?
00:34 One Thing that is changing about the bottleneck
02:07 My 17 Minute AI Workflow To Stand Out At Work
02:56 One thing that is not changing about the bottleneck
⁣04:02 The Crucial Mindset in the AI Revolution

🟡 Course: The 5 Minute Communication Framework for Knowledge Workers: https://tinyurl.com/YTcommsframework
⁣⁣⁣","['idea or execution', 'idea vs execution', 'idea execution', 'AI agents']",2025-02-06T02:39:08Z,10109,360,0,34,PT4M28S,hd,false
qkVNoqXtNIA,Vicky Zhao [BEEAMP],An ode to taking notes in Obsidian 🌱 (3 year reflection),"⁣⁣⁣⁣⁣🟡 Intersectional Thinking: https://intersectionalthinking.substack.com/

Taking notes on Obsidian using Zettelkasten has been one of the most transformational experiences  in my knowledge worker life. It doesn't have to be Obsidian, it doesn't have to be Zettelkasten, but I hope this will get you to start the journey of documenting your ideas and letting them grow in your garden of ideas 🌱

✏️Smart Note-Taking✏️
» Zettelkasten for Beginners: https://youtu.be/GpV47rUYk8I?si=OK_C_bWSQ-bma8Kr
» Obsidian for Beginners (this is the set up I still use): https://youtu.be/d3e7GWsqoU0.  

⏱ TIME STAMPS ⏱
00:00 - Obsidian as a Garden for Ideas
03:05 - The Imperfect Obsidian Set Up
05:47 - Don't Prejudge Your Ideas
06:52 - Don't Manage Your Life in Obsidian
07:49 - Start Small 
⁣
🟡 Course: The 5 Minute Communication Framework for Knowledge Workers: https://tinyurl.com/YTcommsframework
⁣⁣⁣","['Obsidian note-taking', 'Zettelkasten method', 'Obsidian idea management', 'How to use Obsidian', 'Obsidian tips and tricks', 'Organize ideas in Obsidian', 'Second brain with Obsidian', 'Productivity with Obsidian', 'Obsidian workflow', 'Obsidian for beginners', 'Connect your ideas Obsidian', 'Creating a second brain', 'Idea gardening in Obsidian', 'Obsidian structure tips', 'Writing ideas down', 'How to start with Obsidian', 'Obsidian tutorial', 'Note-taking productivity', 'Personal knowledge management']",2025-01-24T14:45:04Z,26692,647,0,58,PT9M46S,hd,true
maBWP1YHIOI,Vicky Zhao [BEEAMP],How to think in systems (3 tools),"Get the 5 frameworks that changed my life 👉 http://tinyurl.com/5FRAMEWORKS

Systems thinking is designed to solve complex problems without oversimplifying them. So system thinking tools help us see what non-system thinkers usually miss. Let's take a look at these 3 tools that are beginner friendly, and something I use often!  

⚡️More Framework & Mental Models⚡️
» Systems Thinking Mental Models: https://www.youtube.com/watch?v=VUXeQGsVbqU
» How to Think Fast Before You Speak: Framework Thinking https://youtu.be/lcyHC9HLTzc?si=vT_TksJcWXstpdhW
» Taking smart notes: https://youtu.be/5O46Rqh5zHE
» Charlie Munger's mental models: https://www.youtube.com/watch?v=ZZFbDrenepY
» Clear communication frameworks: https://youtu.be/pd36Jay0B_8
» Presentation frameworks: https://youtu.be/pd36Jay0B_8


⏱ TIME STAMPS ⏱
00:00 - Systems Thinking in Problem Solving
00:35 - Things & Connections
02:04 - Inflow & Outflow
04:02 - Cost of action & inaction
⁣
🟡 Course: The 5 Minute Communication Framework for Knowledge Workers: https://tinyurl.com/YTcommsframework
⁣⁣⁣","['systems thinking', 'systems thinking explained', 'systems thinking problem solving', 'systems thinking 101', 'problem solving skills', 'Problem-solving tools', 'Breaking down complexity', 'Critical thinking', 'Mental models', 'Self-improvement', 'Information inflow and outflow', 'Learning strategies', 'Cognitive costs', 'Emotional costs', 'Burnout prevention', 'Systems thinking tools', 'Personal development', 'Understanding trends over time', 'Networking strategies', 'University as a system', 'Communication clarity']",2025-01-20T00:33:57Z,48686,2308,0,74,PT5M39S,hd,true
yqq_U2fxd2U,Vicky Zhao [BEEAMP],My 17 Minute AI Workflow To Stand Out At Work,"Get the 5 frameworks that changed my life 👉 http://tinyurl.com/5FRAMEWORKS

This is my favourite AI workflow usign Elicit, Notebook LM and Claude for getting my competitive edge! 

What will happen to the future of knowledge work? How can we combine critical thinking with AI? What do you think? 


⚡️More Framework & Mental Models⚡️
» Systems Thinking: https://www.youtube.com/watch?v=VUXeQGsVbqU
» How to Think Fast Before You Speak: Framework Thinking https://youtu.be/lcyHC9HLTzc?si=vT_TksJcWXstpdhW
» Taking smart notes: https://youtu.be/5O46Rqh5zHE
» Charlie Munger's mental models: https://www.youtube.com/watch?v=ZZFbDrenepY
» Clear communication frameworks: https://youtu.be/pd36Jay0B_8
» Presentation frameworks: https://youtu.be/pd36Jay0B_8


⏱ TIME STAMPS ⏱
00:00 - The fundamentals of knowledge work
00:40 - 4 Steps of Knowledge Work
02:41 - Knowledge Work in 2025
03:55 - My 3 Step AI Workflow
05:03 - Step 1 Elicit
06:16 - Step 2 NotebookLM
13:19 - Step 3 Claude
⁣
🟡 Course: The 5 Minute Communication Framework for Knowledge Workers: https://tinyurl.com/YTcommsframework
⁣⁣⁣","['AI in Knowledge Work', 'Improving Team Dynamics with AI', 'AI Tools for Research', 'Leveraging Academic Research', 'Knowledge Work Value Chain', 'Maximizing Input Quality in AI', 'Elicit Tool for Academic Papers', 'Notebook LM for Insights', 'Practical Applications of AI', 'Team Management Strategies', 'Effective Leadership', 'Optimizing Team Performance', 'Overcoming Knowledge Work Challenges', 'Critical Thinking with AI', 'Actionable Insights from Research', 'AI Research Tools Exploration']",2025-01-09T14:10:01Z,575843,19941,0,531,PT17M30S,hd,true
y6TnKlBl-OU,Vicky Zhao [BEEAMP],3 Secret Skills No One Talks About At Work,"Get the 5 frameworks that changed my life 👉 http://tinyurl.com/5FRAMEWORKS

To get exceptional results, you need to respond to the same set of problems with different skills. These skills require you to think long term AND act short term.  

Here are 3 long term thinking, short term action skills that top performers use - which ones do you already use? 

⚡️More Framework & Mental Models⚡️
» Systems Thinking: https://www.youtube.com/watch?v=VUXeQGsVbqU
» How to Think Fast Before You Speak: Framework Thinking https://youtu.be/lcyHC9HLTzc?si=vT_TksJcWXstpdhW
» Taking smart notes: https://youtu.be/5O46Rqh5zHE
» Charlie Munger's mental models: https://www.youtube.com/watch?v=ZZFbDrenepY
» Clear communication frameworks: https://youtu.be/pd36Jay0B_8
» The 5 Counterintuitive Frameworks I learned at Google: https://youtu.be/jrqUx2rhEYw?si=Bk1J4DR85tn7rcJ7


⏱ TIME STAMPS ⏱
0:00 Think long term, act short term
0:24 1/ Play the “no right answer” game
1:31 Show your work
02:05 - 2/ Define success on your own term 
04:03 - 3/ Go from 0 to 1
4:54 - Permissionless Mindset
⁣
🟡 Course: The 5 Minute Communication Framework for Knowledge Workers: https://tinyurl.com/YTcommsframework
⁣⁣⁣","['Skills for Success in Consulting', 'Long-term Thinking in Short-term Actions', 'Navigating No Right Answer Games', 'Building Momentum in Projects', 'Defining Success on Your Own Terms', 'Management Consulting Strategies', 'Overcoming Procrastination', 'From Zero to One Mindset', 'Effective Problem Solving', 'Career Development Tips', 'Momentum Building Techniques', 'Designing Exit Strategies', 'Thriving in Complex Work Environments', 'Adapting to Change in Work', 'Productivity Hacks for Professionals']",2025-01-03T13:45:07Z,18487,750,0,19,PT6M46S,hd,true
sprjpQDA5Qk,Vicky Zhao [BEEAMP],the one rule for doing hard things,"Get the 5 frameworks that changed my life 👉 http://tinyurl.com/5FRAMEWORKS

How to get into flow and become antifragile with one rule. Ever since implementing this rule 4 years ago, it's changed how I show up to challenges in my life, how I thrive at work, how I learn. Check out this rule in this video!

⚡️More Framework & Mental Models⚡️
» Systems Thinking: https://www.youtube.com/watch?v=VUXeQGsVbqU
» How to Think Fast Before You Speak: Framework Thinking https://youtu.be/lcyHC9HLTzc?si=vT_TksJcWXstpdhW
» Taking smart notes: https://youtu.be/5O46Rqh5zHE
» Charlie Munger's mental models: https://www.youtube.com/watch?v=ZZFbDrenepY
» Clear communication frameworks: https://youtu.be/pd36Jay0B_8
» Presentation frameworks: https://youtu.be/pd36Jay0B_8


⏱ TIME STAMPS ⏱
00:00 - Easy Mode or Hard Life?
00:30 - The 15% Rule
00:54 - How to get into flow?
1:39 - What is antifragile?
2:58 - Combining flow and antifragility
3:46 - The fundamental principle for learning
4:50 - 3 ways the 15% rule made me mentally stronger
⁣
🟡 Course: The 5 Minute Communication Framework for Knowledge Workers: https://tinyurl.com/YTcommsframework
⁣⁣⁣","['15% rule', '20% rule', 'antifragile', 'flow', 'how to do hard things', 'how to learn']",2024-12-26T14:57:00Z,12069,442,0,35,PT7M48S,hd,true
z6odZOinVvg,Vicky Zhao [BEEAMP],5 Questions to Answer in Your 2025 System,"Download the 2025 planner for FREE 👉 https://beeamp-be-amplified.ck.page/c9f9f4bdd5

In this video, use this framework infused 2025 planning and review strategies to help you prioritize your goals and take meaningful action in 2025. Using tools like the 80/20 rule, Via Negativa, and the One Thing, you'll learn how to focus on what truly matters, boost productivity, and achieve success. Whether you’re reviewing your year or planning for next year, these time management tips and productivity hacks will guide you through the process of self-improvement and personal development. Overcome procrastination, set intentions, and create an action plan that aligns with your long-term goals and growth mindset. Watch now for planning tools and strategies that help you stay focused, make better decisions, and achieve your best year!

Find Cécile here if you need to strategically manage all the moving pieces of your business: https://www.cecilemarion.org/strategic-acceleration

⚡️More Framework & Mental Models⚡️
» Systems Thinking: https://www.youtube.com/watch?v=VUXeQGsVbqU
» How to Think Fast Before You Speak: Framework Thinking https://youtu.be/lcyHC9HLTzc?si=vT_TksJcWXstpdhW
» Taking smart notes: https://youtu.be/5O46Rqh5zHE
» Charlie Munger's mental models: https://www.youtube.com/watch?v=ZZFbDrenepY
» Clear communication frameworks: https://youtu.be/pd36Jay0B_8
» Presentation frameworks: https://youtu.be/pd36Jay0B_8


⏱ TIME STAMPS ⏱
00:00 - Intro
00:46 - The efficient review of 2024
02:07 - How I'm Making My Work a Positive-Sum Game 
03:38 - The via negativa set up for 2025
04:29 - The Passion Plan for 2025 
05:38 - Prioritize - the one thing
07:20 - Prioritize - make sure you do the hard thing

⁣Music used: https://uppbeat.io/t/moire/bees-in-the-garden
License code: NVNECDO6AWICTL9B

🟡 Course: The 5 Minute Communication Framework for Knowledge Workers: https://tinyurl.com/YTcommsframework
⁣⁣⁣","['goal setting', 'yearly planning', 'prioritize goals', 'personal development', '80/20 rule', 'time management', 'review your year', 'plan for next year', '2025 planning', 'productivity tips', 'Passion Planner', 'time boxing', 'one thing method', 'creative freedom', 'self-improvement', 'focus on results', 'growth mindset', 'achieving success', 'overcoming procrastination', 'planning strategies', 'long-term goals', 'setting intentions', 'action plan', 'decision-making', 'self-awareness', 'planning tools', 'time management tips']",2024-12-17T14:05:01Z,27709,848,0,51,PT9M16S,hd,true
LPx6iWrqC8c,Vicky Zhao [BEEAMP],Communication Bridges 🌉: Next Steps,"Never leave any meeting any discussion without concrete next steps...

Get the 74 Communication Bridges that completely changed how I speak 👉 https://beeamp-be-amplified.kit.com/88904705bf",,2024-12-04T22:00:11Z,2014,88,0,0,PT49S,hd,false
QSGgGz7GU6w,Vicky Zhao [BEEAMP],Communication Bridges 🌉: Refine,"Sometimes you need to explain things differently or add details.
Sometimes what other people said are great but you want to refine it so  everyone gets to the actual essence...

Get the 74 Communication Bridges that completely changed how I speak 👉 https://beeamp-be-amplified.kit.com/88904705bf",,2024-12-04T20:00:18Z,1011,50,0,1,PT38S,hd,false
JOs_z37ACpc,Vicky Zhao [BEEAMP],Communication Bridges 🌉: Summarize,"Never let your main message get lost. So you always want to progressively summarize for your listeners...

Get the 74 Communication Bridges that completely changed how I speak 👉 https://beeamp-be-amplified.kit.com/88904705bf",,2024-12-04T18:00:17Z,871,42,0,1,PT31S,hd,false
