video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
S0puqaHAbS0,Grate and Garnish,నేతి బొబ్బట్లు | Bobbatlu Recipe | Obbattu| Puran Poli Recipe | Holige Recipe | Bakshalu Recipe,"నేతి బొబ్బట్లు | Bobbatlu Recipe | Bobbattu | How To Make Obbattu | Puran Poli Recipe | Holige Recipe | Bakshalu Recipe 
ఆంధ్రా నేతి బొబ్బట్లు-Bobbatlu Recipe Telugu-Puran Poli-How To Make Obbattu-Holige Recipe-Bakshalu

SUBSCRIBE TO MY CHANNEL - Grate and Garnish
CLICK BELOW TO VISIT THE CHANNEL AND SUBSCRIBE
https://www.youtube.com/channel/UCcJ-9HLqdlLJC42lbNHM7Jw/videos?view=0&sort=da

Tap 🔔  for all updates

Contact me
foodofflavours@gmail.com",,2021-12-06T09:37:19Z,88,18,0,7,PT9M14S,hd,false
N07IhjtSiak,Grate and Garnish,Gajar Ka Halwa | క్యారెట్ హల్వా | Simple and Delicious Gajar Halwa,"Gajar Ka Halwa Recipe | Simple and Delicious Gajar Halwa | Carrot Halwa Recipe

Ingredients:
Carrot (grated)- 1cup
Sugar- 1cup
Milk- 2cups
Chopped cashew nut
Chopped almond
Ghee-2 to 3 tbsp

SUBSCRIBE TO MY CHANNEL - Grate and Garnish
CLICK BELOW TO VISIT THE CHANNEL AND SUBSCRIBE
https://www.youtube.com/channel/UCcJ-9HLqdlLJC42lbNHM7Jw/videos?view=0&sort=da

Tap 🔔  for all updates

Contact me
foodofflavours@gmail.com",,2021-10-29T07:08:20Z,61,13,0,2,PT3M,hd,false
_fismv2kUTs,Grate and Garnish,Milk Powder Ladoo |  Diwali Sweet Recipe | పాల పిండి లడ్డు | 3 నిమిషాల్లో తయారయ్యే లడ్డు,"Milk Powder Sweet Recipe | Milk Powder Ladoo |  Diwali Sweet Recipe | మిల్క్ పిండి లడ్డు

Ingredients:
Milk - 1/4cup
Sugar - 1/4cup
ghee - 1tbsp
yellow color - a pinch
Milk Powder - 1cup

SUBSCRIBE TO MY CHANNEL - Grate and Garnish
CLICK BELOW TO VISIT THE CHANNEL AND SUBSCRIBE
https://www.youtube.com/channel/UCcJ-9HLqdlLJC42lbNHM7Jw/videos?view=0&sort=da

Tap 🔔  for all updates

Contact me
foodofflavours@gmail.com",,2021-10-20T04:59:57Z,53,9,0,1,PT3M55S,hd,false
r8UklXFPuqA,Grate and Garnish,Crispy Gobi Pakora | Cauliflower Pakodi | గోబీ పకోర | Gobi Pakoda Recipe 😋😋😋,"Crispy Gobi Pakora | Cauliflower Pakodi | గోబీ పకోర | Gobi Pakodi Recipe

Ingredients:
1 Medium Sized Gobi/Cauliflower 
Gram flour 1cup
Rice flour 1/2cup
Salt to taste 
Red chilli powder 1 tbsp
Ginger garlic powder 1 tbsp 
Garam masala powder 1/2tsp
Little water 
Pinch Of food Colour (Optional)
Pepper powder 1/2tsp
Oil for deep fry 

SUBSCRIBE TO MY CHANNEL - Grate and Garnish
CLICK BELOW TO VISIT THE CHANNEL AND SUBSCRIBE
https://www.youtube.com/channel/UCcJ-9HLqdlLJC42lbNHM7Jw/videos?view=0&sort=da

Tap 🔔  for all updates

Contact me
foodofflavours@gmail.com",,2021-09-22T15:33:47Z,87,19,0,5,PT3M54S,hd,false
UqnyvXF36pc,Grate and Garnish,Andhra Style Fish Curry | ఆంధ్ర స్టైల్ చేపల ఇగురు | Fish Curry Recipe,"ఆంధ్ర స్టైల్  చేపల ఇగురు | Andhra Style Fish Curry | Chepala Iguru | Simple Fish Curry


How To Make Fish Curry | Fish Gravy | Fish Curry | Chepala Iguru | Chepala Kura | Fish Iguru | Simple Fish Curry | Chepala Iguru Ela Cheyali | Chepala Iguru Tayari Vidhanam",,2021-09-02T07:23:39Z,71,19,0,1,PT5M20S,hd,false
FdgtlyHhhCs,Grate and Garnish,Paneer Butter Masala | పనీర్ బట్టర్ మసాలా | Easy and Tasty Paneer Recipe,"Paneer Butter Masala | పనీర్ బట్టర్ మసాలా | Easy and Tasty Paneer Recipe

Ingredients for Paneer Butter Masala

Oil - 2tbsp
Chopped ginger - 2tbsp
Garlic - 1tbsp
Onions - 2
Shahjeera - 1tbsp
Tomatoes - 2
Cashew - 2tbsp
Butter - 1tbsp
Turmeric - 1/2tsp
Chilli powder - 1tbsp
Salt to taste
Garam masala - 1tbsp
Capsicum - 1cup
Paneer cubes - 2cups
Kasuri methi - 1tbsp",,2021-08-07T07:51:14Z,94,22,0,7,PT4M1S,hd,false
TxctNEuMJNI,Grate and Garnish,రెస్టారెంట్ స్టైల్ చికెన్ 65 రుచిగా ఇంట్లో ఇలా చేసుకోండి |Restaurent style Chicken 65 Recipe,"రెస్టారెంట్ స్టైల్ చికెన్ 65 రుచిగా ఇంట్లో ఇలా చేసుకోండి |Restaurent style Chicken 65

Ingredients for Chicken 65

Boneless Chicken - 400gms
Salt to taste
chilli powder - 1tbsp
Garam masala powder - 1/2tbsp
Ginger garlic paste - 1/2tbsp
Pepper powder - 1/2tsp
Lemon juice  -  1tbsp
Corn flour - 2tbsp
Rice flour - 2tbsp
Egg - 1
Coriender powder - 1tbsp
Oil - 2tbsp
Cumin seeds - 1/2tsp
Chopped garlic - 1tbsp
Chopped ginger - 1tbsp
Green chilies - 2
Few curry leaves
Tomato ketchup - 1 tablespoon
Dried Chilli - 2
Water - 1/2cup
Coriender leaves


SUBSCRIBE TO MY CHANNEL - Grate and Garnish
CLICK BELOW TO VISIT THE CHANNEL AND SUBSCRIBE
https://www.youtube.com/channel/UCcJ-9HLqdlLJC42lbNHM7Jw/videos?view=0&sort=da

Tap 🔔  for all updates

Contact me
foodofflavours@gmail.com",,2021-07-18T10:45:36Z,84,23,0,4,PT5M29S,hd,false
lC9q6QObxm8,Grate and Garnish,Ribbon Pakoda | ఆకు పకోడి | Easy and Crunchy Ribbon Pakoda,"Ribbon Pakoda | ఆకు పకోడి | Easy and Crunchy snack Ribbon Pakoda

Ingredients for Ribbon Pakoda

Besan Flour - 2cups
Rice Flour - 2cups
Butter - 2tsp
Salt to taste
Turmeric - 1/2tsp
Red Chilli powder - 1 tbsp
Ajwain - 1tsp
Oil for deep fry

SUBSCRIBE TO MY CHANNEL - Grate and Garnish
CLICK BELOW TO VISIT THE CHANNEL AND SUBSCRIBE
https://www.youtube.com/channel/UCcJ-9HLqdlLJC42lbNHM7Jw/videos?view=0&sort=da

Tap 🔔  for all updates

Contact me
foodofflavours@gmail.com",,2021-07-05T07:01:32Z,114,24,0,2,PT2M51S,hd,false
kg2USmUYFME,Grate and Garnish,Chicken Fry Biryani | చికెన్ ఫ్రై బిర్యానీ | Simple and Easy Chicken Fry Biryani,"Chicken Fry Biryani | చికెన్ ఫ్రై బిర్యానీ | Very Simple and Easy Chicken Fry Biryani


INGREDIENTS FOR 
MARINATION
Chicken - 500gms
Salt as required
Red chilli powder - 2tbsp
Ginger garlic paste - 2tbsp
Half a lemon juice
Curd - 1cup
Butter - 1tbsp
Coriender powder - 1tbsp
Cumin powder - 1tsp
Garam masala powder - 1 teaspoon
Turmeric powder - 1/2tsp

Rice - 1 kg

FOR RICE
Oil - 2tbsp
Cinnamon stick
Shahjeera - 1tbsp
marathi moggu
Cloves - 7
Cardamom - 5
Bay leaves - 2
Mace - 1
Salt as required
Green chilies - 5
Onion - 1
Ginger garlic paste - 3 teaspoon
Half a lemon
Mint and coriander leaves


SUBSCRIBE TO MY CHANNEL - Grate and Garnish
CLICK BELOW TO VISIT THE CHANNEL AND SUBSCRIBE
https://www.youtube.com/channel/UCcJ-9HLqdlLJC42lbNHM7Jw/videos?view=0&sort=da",,2021-06-30T04:24:32Z,146,31,0,8,PT7M45S,hd,false
qUNmZDutClM,Grate and Garnish,Veg Spring Rolls with homemade spring rolls sheet | రుచికరమైన వెజ్ స్ప్రింగ్ రోల్స్ | tasty & crispy,"Veg Spring Rolls | tasty and crispy Veg Spring Rolls recipe | రుచికరమైన వెజ్ స్ప్రింగ్ రోల్స్

(Veg Spring Rolls)
✨ Ingredients✨ 

~For spring roll sheets~ 
Flour all purpose - 2cups
Salt - a pinch 
Soda - a pinch
Water - 160ml (approx)
hot Oil 

~For stuffing~ 
Oil - 4tbsp
Ginger garlic paste - 2tsp
Onions chopped - 2(small)
Beans chopped - 1/2cup
Cabbage shredded - 1cup
Green chilli - 2nos
Salt - to taste
Pepper powder - 1tbsp
Coriender leaves
Lemon juice - 1tbsp

~Batter for binding~ 
Flour (all-purpose) 
Water

(Veg Spring Rolls)
✨ Ingredients✨ 

~For spring roll sheets~ 
Flour all purpose - 2cups
Salt - a pinch 
Soda - a pinch
Water - 160ml (approx)
hot Oil 

~For stuffing~ 
Oil - 4tbsp
Ginger garlic paste - 2tsp
Onions chopped - 2(small)
Beans chopped - 1/2cup
Cabbage shredded - 1cup
Green chilli - 2nos
Salt - to taste
Pepper powder - 1tbsp
Coriender leaves
Lemon juice - 1tbsp

~Batter for binding~ 
Flour (all-purpose) 
Water

(Veg Spring Rolls)
✨ Ingredients✨ 

~For spring roll sheets~ 
Flour all purpose - 2cups
Salt - a pinch 
Soda - a pinch
Water - 160ml (approx)
hot Oil 

~For stuffing~ 
Oil - 4tbsp
Ginger garlic paste - 2tsp
Onions chopped - 2(small)
Beans chopped - 1/2cup
Cabbage shredded - 1cup
Green chilli - 2nos
Salt - to taste
Pepper powder - 1tbsp
Coriender leaves
Lemon juice - 1tbsp

~Batter for binding~ 
Flour (all-purpose) 
Water",,2021-06-26T04:47:50Z,112,29,0,6,PT7M12S,hd,false
