video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
NmP49GOG1-o,Tierra,easy GEL-X nail art tutorial for beginners + detailed process,"SPRING 3D FLOWER NAIL ART TUTORIAL

Hi! Let’s get into the spring vibes with this soft, rose quartz 3D flower nail tutorial! In this step-by-step video, I’ll show you how to easily sculpt realistic petals, perfect for spring nail designs. These yellow nails are giving sunshine, fresh blooms, and all the seasonal feels! 🌸
#3dnailart #gelx #nailtutorial 

products:
XXL Square Tips https://amzn.to/4jz9L4U
Day Dream Gel https://moneyfornails.com/products/pan-04
Sunrise Glow Gel https://amzn.to/42RHE9X
Yellow Gel  https://amzn.to/4cXo2Gb
Base + Top Coat https://amzn.to/3SaFDR5
Pigment Powder Palette https://amzn.to/4d00u3u
Matte Top Coat https://amzn.to/42X23KQ
White Sculpt Gel https://amzn.to/4jSeZbx
Pink Sculpt Gel https://amzn.to/4iF98Wa
Caviar Beads https://amzn.to/42B5msf
Rechargeable LED Lamp https://amzn.to/4jtQD8d
Silicone Tools https://amzn.to/42Ee0Gs

subscribe https://youtube.com/@itgirltierra

💲
AMAZON Finds https://amzn.to/40Q2AMb
10% off Money For Nails code TIERRA https://moneyfornails.com/discount/TIERRA
Affiliate links included. Thanks for your support.*

Music by Tropicalmonroe - Spring Flow - https://thmatc.co/?l=2C083418

DISCLAIMER  
I’m a nail content creator, not a licensed tech.

gel x nails, gel x tutorial, gel x extensions, gel x nail tips, soft gel extensions, gel x for beginners, how to apply gel x, gel x removal, gel x designs, gel x nail art, gel x vs acrylic, diy gel x, gel x step by step, press on nails, diy press ons, press on nail tutorial, custom press on nails, reusable press on nails, how to apply press ons, press on nails that last, press on nail prep, long lasting press ons, press on nails for beginners, press on nail tips, press on nail business, 3d nail art, 3d nails, floral nail art, 3d flower nails, 3d acrylic nails, sculpted nail art, 3d nail design, spring 3d nails, nail art tutorial, beginner 3d nails","['nails', 'nail video', 'nail art', 'nail designs', 'nail tutorial', 'manicure', 'nail inspiration', 'nail tech', 'nail artist', 'press on nails', 'gel nails', 'acrylic nails', 'how to nails', 'nail content', 'nail tips', 'gel polish', 'nail polish', 'nail art ideas', 'nail of the day', 'nail goals', 'nail channel', 'polygel', 'poly nail gel', 'polygel nails']",2025-04-29T18:20:48Z,129,,0,4,PT22M21S,hd,false
qTK4o8LbGYA,Tierra,💖 #nailshorts #pinknails #nailtutorialclips #gelpolishnails #auranails,,,2025-04-29T12:29:41Z,703,,0,0,PT25S,hd,false
VW5X_4sdAEk,Tierra,🌸 #naildesign #diynails #nailgoals #nailshorts #nailtutorials,,,2025-04-25T12:29:25Z,1511,,0,0,PT24S,hd,false
aaXj3E1KyiI,Tierra,unboxing my new filming light 🥹 #nailshorts #filmingsetup #nailcontent #nailtok #neatfi,,,2025-04-22T21:27:28Z,282,,0,4,PT41S,hd,false
84qJ91h-x0g,Tierra,💙 #nailvideos #bluenailart #nailtutorialclips #frenchtipnails #diynails,,,2025-04-20T01:39:24Z,4025,,0,3,PT24S,hd,false
RT8rA2E6vEs,Tierra,how to do french tips like a PRO | gel-x nail art tutorial,"Beginner Friendly Gel X Tutorial 

Hi! In today’s video, I’m creating this pretty blue French tip set on extra long gel stiletto tips! I’ll walk you through each step—from shaping and hand-painting the tips to mixing custom blue shades and adding a soft aura effect using stickers (no airbrush needed!).
#gelx #nailtutorial #gelxnails 

timestamps
0:00 preview
0:08 novo ovo stiletto
3:28 french tips
10:22 aura effect
15:29 top coat
17:43 final reveal 

products:
XXL Stiletto https://amzn.to/4iyRB20
Gradient Nail Stickers https://amzn.to/4jI830F
801 Daydream https://dailycharme.com/products/charme-gel-polish-801-daydream?rfsn=3034173.d63c96&_pos=1&_sid=aaef4fcec&_ss=r
804 Hey Sailor https://dailycharme.com/collections/summer-nail-art-collection/products/charme-gel-polish-804-hey-sailor?rfsn=3034173.d63c96&_pos=1&_sid=ead8c66e4&_ss=r
807 Tea Time https://dailycharme.com/products/charme-gel-polish-807-tea-time?rfsn=3034173.d63c96&_pos=1&_sid=5a53acaa9&_ss=r
Liner Brushes 5pcs https://amzn.to/42Duop4

subscribe https://youtube.com/@itgirltierra

💲
AMAZON Finds https://amzn.to/40Q2AMb
10% off Money For Nails code TIERRA https://moneyfornails.com/discount/TIERRA
12% off Melody Susie code TIERRA 
https://www.melodysusie.com/?aff=87&utm_campaign=87&utm_source=affiliate&utm_medium=kol

Affiliate links included. Thanks for your support.*

Music by cold winter breeze - dreamy vibes - https://thmatc.co/?l=85ACE3B6
Music by cold winter breeze - dreamy and soft - https://thmatc.co/?l=F73DF477

DISCLAIMER  
I’m a nail content creator, not a licensed tech.

Gel-X nails, Gel-X stiletto tips, Gel-X nail art, stiletto Gel-X nails, nail art with Gel-X, DIY Gel-X nails, soft gel extensions, full cover stiletto tips, Gel-X tutorial, Gel-X stiletto nail art, hand painted nail art, Gel-X nails at home, Gel-X beginner tutorial, blue stiletto nails, French tips Gel-X, aura nail art, stiletto gel nails, Gel-X nail design, Gel-X shapes, Gel-X with stickers, Gel-X without airbrush, long stiletto nails, Gel-X nail inspo, Gel-X nail ideas, custom color Gel-X, liner brush nail art, press on nails, diy nails","['nails', 'nail video', 'nail art', 'nail designs', 'nail tutorial', 'manicure', 'nail inspiration', 'nail tech', 'nail artist', 'press on nails', 'gel nails', 'acrylic nails', 'how to nails', 'nail content', 'nail tips', 'gel polish', 'nail polish', 'nail art ideas', 'nail of the day', 'nail goals', 'nail channel', 'polygel', 'poly nail gel', 'polygel nails']",2025-04-19T01:48:40Z,1831,,0,7,PT18M4S,hd,false
Xgw-BOMMuH8,Tierra,Polygel Nails Using Dual Forms | best method for beginners + nail art tutorial,"Polygel Nails for Beginners

Hi! In this tutorial, I’ll show you step-by-step how to use dual forms with polygel. 
#nailtutorial #polygel #polygelnails 

timestamps
0:00 intro
2:36 polygel application 
12:46 file & buff
16:26 nail art
34:11 top coat
35:22 final results

products:
Dual Form Set https://amzn.to/4ilnzhU
Pink Nude Poly https://amzn.to/3YvwpCw
Cuticle Nippers https://amzn.to/3RfvN02
Rechargeable E-File https://amzn.to/42yVwpy
Cloud 9 Gel https://amzn.to/44dIwbp
Peach Perfect Gel https://amzn.to/4cA99cC
Daydream Gel https://amzn.to/3RgAOWb
Cotton Candy Gel https://amzn.to/3Gc0jFI
Lavender Skies Gel https://amzn.to/43OL4fM
Liner Brushes 5pcs https://amzn.to/42BSeSo
Rhinestone Glue https://amzn.to/3EnURza
Crystal Picker Tool https://amzn.to/42LsOTq
3D Flower Charms https://amzn.to/3Erdxhj

subscribe https://youtube.com/@itgirltierra

💲
AMAZON Finds https://amzn.to/40Q2AMb
10% off Money For Nails code TIERRA https://moneyfornails.com/discount/TIERRA
12% off Melody Susie code TIERRA 
https://www.melodysusie.com/?aff=87&utm_campaign=87&utm_source=affiliate&utm_medium=kol

Affiliate links included. Thanks for your support.*

Music by Fine Sounds - Bubba Paris - https://thmatc.co/?l=90D6FA6B

DISCLAIMER  
I’m a nail content creator, not a licensed tech.

dual form nails, dual forms polygel, polygel nails, polygel nails tutorial, spring nail art, spring nails, polygel nails for beginners, DIY polygel nails, how to use dual forms, dual form nails tutorial, beginner nail tutorial, DIY nails at home, easy polygel nails, nail extensions at home, dual form application, nail hacks, gel nail extensions, salon nails at home, polygel extensions, nail tutorial step by step, soft gel nails, nail content creator, gel polish","['nails', 'nail video', 'nail art', 'nail designs', 'nail tutorial', 'manicure', 'nail inspiration', 'nail tech', 'nail artist', 'press on nails', 'gel nails', 'acrylic nails', 'how to nails', 'nail content', 'nail tips', 'gel polish', 'nail polish', 'nail art ideas', 'nail of the day', 'nail goals', 'nail channel', 'polygel', 'poly nail gel', 'polygel nails']",2025-04-15T23:11:45Z,587,,0,15,PT35M42S,hd,false
MJFu1mnVKAE,Tierra,application 😮‍💨 #buildergelnails #nailvids #pinknails #nailsofyoutube #nailshort,,,2025-04-14T12:16:44Z,2285,,0,4,PT19S,hd,false
Xt34SNQlIiI,Tierra,How To Design Gel-X Nails like A Pro | step-by-step nail art for beginners,"Gel-X Press On Nails at Home 

Hi nail girlie! In this video, I’ll show you step-by-step how to create that trendy airbrushed aura look. I’m sharing tips on shaping moon cut nail tips. Like, comment, and share if you found this video helpful. 💖
#gelx #nailtutorial #diynails

products:
XXL Tapered Square https://amzn.to/3RJvVF7
Milky White Gel https://amzn.to/425zuLY
Sheer Nude Pink Set https://amzn.to/3XQ7v0o
Airbrush Gel https://amzn.to/43Noe8n
Liner Brushes 5pcs https://amzn.to/3RdnfXC
80/80 File https://amzn.to/4icIfbM
5 in 1 Bit https://amzn.to/42r1oRq
Mandrel Bit https://amzn.to/44ooHOr
Nail Practice Stand https://amzn.to/3EhSHAT
Cordless Rechargeable Lamp https://amzn.to/3YtNnBh
E-File https://amzn.to/4jnO1sN

subscribe https://youtube.com/@itgirltierra

💲
AMAZON Finds https://amzn.to/40Q2AMb
10% off Money For Nails code TIERRA https://moneyfornails.com/discount/TIERRA
12% off Melody Susie code TIERRA 
https://www.melodysusie.com/?aff=87&utm_campaign=87&utm_source=affiliate&utm_medium=kol

Affiliate links included. Thanks for your support.*

Music by cold winter breeze - late night crash course - https://thmatc.co/?l=9CEA06C0

DISCLAIMER  
I’m a nail content creator, not a licensed tech.

aura nails, aura nail tutorial, pink aura nails, gel x nails, gel x press on nails, DIY gel x nails, polygel nails, polygel dual forms, dual forms nails, DIY press on nails, soft gel extensions, jelly nails, airbrush nails, airbrush aura nails, airbrush nail tutorial, gel nail tutorial, nail art tutorial, beginner nail tutorial, reusable press on nails, moon cut nail tips, c curve nails, pink nails tutorial, at home nails, trendy nails 2025, DIY aura nails","['nails', 'nail video', 'nail art', 'nail designs', 'nail tutorial', 'manicure', 'nail inspiration', 'nail tech', 'nail artist', 'press on nails', 'gel nails', 'acrylic nails', 'how to nails', 'nail content', 'nail tips', 'gel polish', 'nail polish', 'nail art ideas', 'nail of the day', 'nail goals', 'nail channel', 'polygel', 'poly nail gel', 'polygel nails']",2025-04-10T20:47:07Z,622,,0,23,PT20M44S,hd,false
8Zy2y73Dap8,Tierra,SHEIN Nail Haul | affordable nail supplies for beginners + pink nail items,"Must-Have Nail Products from SHEIN

Hi! In this SHEIN nail haul, I’m unboxing a variety of affordable nail art supplies and tools perfect for DIY nails at home! I’m sharing everything I got to level up my nail game on a budget. This haul has something for every nail enthusiast. 
#shein #sheinhaul #nailvideo 

products:
search item ID in video 
subscribe https://youtube.com/@itgirltierra

💲
AMAZON Finds https://amzn.to/40Q2AMb
10% off Money For Nails code TIERRA https://moneyfornails.com/discount/TIERRA
12% off Melody Susie code TIERRA 
https://www.melodysusie.com/?aff=87&utm_campaign=87&utm_source=affiliate&utm_medium=kol

Affiliate links included. Thanks for your support.*

Music by Mark J - No Regrets - https://thmatc.co/?l=FD441691

DISCLAIMER  
I’m a nail content creator, not a licensed tech.

shein nail haul, shein nails, nail haul 2025, affordable nail supplies, diy nails, nail art haul, nail products shein, press on nails, gel x nails, nail art, nail accessories, nail charms, nail tools, nail haul shein, cute nails, nail inspo, soft gel nails, polygel nails, beginner nail haul, budget nail haul, shein beauty haul, nail design haul","['nails', 'nail video', 'nail art', 'nail designs', 'nail tutorial', 'manicure', 'nail inspiration', 'nail tech', 'nail artist', 'press on nails', 'gel nails', 'acrylic nails', 'how to nails', 'nail content', 'nail tips', 'gel polish', 'nail polish', 'nail art ideas', 'nail of the day', 'nail goals', 'nail channel', 'polygel', 'poly nail gel', 'polygel nails']",2025-04-08T18:20:34Z,1131,,0,3,PT17M2S,hd,false
