video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
xh5xPjurhbI,The Fitness Marshall,i have been WRECKED for a week,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-24T16:01:35Z,3422,219,0,6,PT14S,hd,false
2wYOc1Gp1g4,The Fitness Marshall,i have never gotten this part right,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-24T01:00:06Z,17762,682,0,5,PT13S,hd,false
O5kiKBBdayo,The Fitness Marshall,I have since made the necessary adjustments,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-23T22:00:25Z,21492,668,0,10,PT9S,hd,false
ieB8FVzBCV8,The Fitness Marshall,i have so much respect for her neck,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-23T19:00:42Z,22910,1108,0,12,PT20S,hd,false
wDkjmkj3Nvs,The Fitness Marshall,i take back my allegations haley WAS sick,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-23T16:01:27Z,14446,927,0,7,PT55S,hd,false
ni1xtEAHGsI,The Fitness Marshall,i REALLY thought i had it,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-23T01:00:47Z,22328,761,0,4,PT13S,hd,false
_ZuQuvey0FY,The Fitness Marshall,Fav mov from this Bluest Flame dance workout!? @selenagomez @bennyblanco,,,2025-04-22T22:29:12Z,31661,1559,0,16,PT58S,hd,false
58ifIO6XIGU,The Fitness Marshall,i surprised MYSELF,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-22T22:00:10Z,20472,764,0,13,PT12S,hd,false
7pNPmtnrCVE,The Fitness Marshall,i made the chair my PROP,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-22T19:00:08Z,17825,747,0,7,PT32S,hd,false
oVhyS2cCSYc,The Fitness Marshall,i was on a different planet,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-22T16:01:22Z,20805,775,0,7,PT13S,hd,false
JO3gwdPik5s,The Fitness Marshall,i was .... embarrassed,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-22T01:00:32Z,28797,1071,0,14,PT13S,hd,false
exet0unxnOQ,The Fitness Marshall,me stimming while teaching a workout,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-21T22:00:45Z,38914,1573,0,14,PT20S,hd,false
nIfExn8wLlA,The Fitness Marshall,no one else is gonna do it,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-21T19:00:44Z,31996,1096,0,5,PT15S,hd,false
9v1-GGguuKg,The Fitness Marshall,she just gave up lolol,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-21T16:00:24Z,37634,1217,0,4,PT14S,hd,false
S16WCyCGvJI,The Fitness Marshall,Bluest Flame - @selenagomez & @bennyblanco  | @CalebMarshall |  Dance Workout,"SHOP OUR LOOKS!  http://activebooty.com
Subscribe: http://bit.ly/tfmsub | Join the Booty Army: www.members.thefitnessmarshall.org

Portion: MAIN WORKOUT

Watch more workouts!
Newest Videos: https://youtube.com/playlist?list=PLAPUEAObdbMYfGHsYC4rBihCNT17VtOj_
Most Popular: https://youtube.com/playlist?list=PLAPUEAObdbMaqzhQ5l_Hdc3f8CGycdBC2
Heavy Sweat Workouts: youtube.com/playlist?list=PLAPUEAObdbMZCz53BTJwI8f28Wn2vsXnj
Moderate Sweat: youtube.com/playlist?list=PLAPUEAObdbMbSRc-qtcbP2Jnc9OauEOkJ 
Light Sweat: youtube.com/playlist?list=PLAPUEAObdbMaeqXOK62zJlMRIJnhwVITt


🔔 Click the notification bell so you never miss a video🔔

FOLLOW ME 
Second Channel  @CalebMarshall 
Instagram http://instagram.com/TheFitnessMarshall
Facebook http://Facebook.com/BootiesAtAttention
Twitter http://twitter.com/TheFitMarshall
TIK TOK: thefitnessmarshall

👯‍♀️BACKUP BOOTIES👯‍♀️
Haley Jordan
YouTube  @HaleyJordan12 
Facebook http://facebook.com/12haleyjordan
Instagram http://instagram.com/haleyjordan12
Snapchat: haleyjordan12

Allison Florea
Instagram http://instagram.com/adflorea
YouTube  @AllisonFlorea 

Producer
Cameron Moody (Manager Moody Booty)
Instagram http://instagram.com/cameronmoody

***
DISCLAIMER:

Video includes flashing lights/strobe effects

The Fitness Marshall strongly recommends that you consult with your physician before beginning any exercise program.

You should be in good physical condition and be able to participate in the exercise.

You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself, and agree to release and discharge The Fitness Marshall and all employees and/or successors. from any and all claims or causes of action, known or unknown, arising out of The Fitness Marshall’s negligence.

Welcome to The Fitness Marshall channel! Get a high intensity, FUN cardio dance workout designed for EVERYONE. If you want to reduce stress, lose weight, burn fat, have fun or learn how to dance The Fitness Marshall is for you! Let go of your inhibitions and dance with us to all your favorite artists like Dua Lipa, Doja Cat, Ariana Grande, Britney Spears, Lizzo, Beyonce, Charli D'Amelio, Cardi B, Billie Eilish, Justin Bieber and more! SECRET TIP: You burn extra calories if you lip sync the lyrics along with the song ;) Whether you’re a pilates person, Zumba instructor, or a beginner who has never tried exercise you can find a dance here for you! ARE YOU READY TO SWEAT YOURSELF SEXY!?","['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-21T12:00:46Z,36002,1249,0,78,PT2M52S,hd,false
1Sy8ZtPqrZI,The Fitness Marshall,she prefers me dry,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-21T01:00:06Z,43155,1168,0,8,PT12S,hd,false
No_m5GOf2pE,The Fitness Marshall,the backup booties are basically babysitters,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-20T22:00:20Z,52421,1602,0,6,PT19S,hd,false
pYfBsC2r_Zc,The Fitness Marshall,the katy perry ERA SURE,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-20T19:00:45Z,54550,1295,0,13,PT10S,hd,false
h23HVJ-m7uo,The Fitness Marshall,Come dance in a chair with me 🥲,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-20T16:01:04Z,22854,1018,0,17,PT51S,hd,false
Xm9dN4fwNqE,The Fitness Marshall,choose your fighter,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-20T01:00:35Z,42360,1410,0,24,PT11S,hd,false
t-EUP4Fcbpw,The Fitness Marshall,honestly proud of myself,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-19T22:01:00Z,41121,1396,0,10,PT34S,hd,false
uUEiN6PYG18,The Fitness Marshall,kill em with kindness,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-19T19:00:54Z,29425,1068,0,11,PT36S,hd,false
vmKrDa_2pFA,The Fitness Marshall,need to workout my brain just as much as my body,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-19T16:01:17Z,24306,996,0,14,PT56S,hd,false
LwPEMw_mY44,The Fitness Marshall,@haleyjordan took her role VERY seriously,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-19T01:00:31Z,32414,1775,0,20,PT54S,hd,false
iwm_5iyOJP4,The Fitness Marshall,and the one brain we share has 2 brain cells,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-18T22:00:52Z,41030,1872,0,11,PT23S,hd,false
28JM0egHhHI,The Fitness Marshall,dc @amazingjamesthomastho,,"['zumba', 'cardio hip hop', 'dance fitness', 'marshal', 'caleb marshall', 'easy', 'how to', 'tutorial', 'weight loss', 'booty army', 'official', 'dancing', 'marshall fitness', 'martial', 'fitness guy']",2025-04-18T19:00:06Z,63779,2800,0,44,PT17S,hd,false
