video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
UT7g_Dd3Cjc,Tina Yong,Making my childhood dream come true!,,,2025-04-23T06:04:19Z,15887,623,0,14,PT48S,hd,false
sD9y1SHqKW8,Tina Yong,Trying Viral Rice Paper Recipes *part 2*,"Back with Part 2 of trying viral rice paper recipes—because you guys loved the first one! This time, I'm teaming up with my mum in the kitchen to test out even more creative and easy ways to cook with rice paper. Get ready for some fun kitchen chaos!

Recipes:
Rice Paper Sushi - https://vt.tiktok.com/ZSrP694a3/
Vietnamese Pizza - https://vt.tiktok.com/ZSrP6HBhr/
Steamed Dumplings - https://vt.tiktok.com/ZSrP6nNM8/

Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'Rice paper recipes', 'viral recipes', 'TikTok recipes', 'dumplings', 'Vietnamese recipes']",2025-04-18T03:31:04Z,158293,10135,0,448,PT15M52S,hd,true
FRq1rVo3_hU,Tina Yong,Rate my outfits,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it']",2025-04-15T03:53:50Z,12917,549,0,19,PT43S,hd,false
LEvPRbFKrgs,Tina Yong,I Gave these Dolls a Complete Makeover,"I recently attended a doll customization workshop where I learned how to transform a basic doll into a total luxury masterpiece! 💅✨ In this video, I'm taking you along with me as I learn all the professional techniques for doll makeup, hair styling, and fashion coordination.

🔔 Don't forget to SUBSCRIBE for more videos like this! It really helps support my channel! 🩷  https://bit.ly/2JFCtDr 

Petal Bliss SG
https://www.instagram.com/petalbliss.sg/

Shop The Petite Club Lashes 
https://coreelle.com/collections/the-petite-club/products/hmu-lashes
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'DollWorkshop', 'DollCustomization', 'LuxuryDoll', 'DollMakeup', 'FashionDoll', 'DollMakeover', 'CustomDoll', 'DollStyling', 'DollOutfit', 'DollArtist', 'DollHair', 'LuxuryMakeover', 'DollTransformation', 'BeforeAndAfter', 'DollTutorial', 'FashionDollMakeover', 'DiyDoll', 'DollFashion', 'DollBeauty', 'CustomizationWorkshop', 'Blythe', 'blythe doll', 'doll collection', 'doll collecting', 'vietnam', 'vietnam travel', 'diy activities', 'diy', 'custom dolls', 'travel activities', 'ho chi minh city']",2025-04-10T04:48:30Z,56984,3362,0,113,PT8M36S,hd,true
n0N8UbnO4Ro,Tina Yong,Testing Viral Sandwich Recipes 😳,"I tried some of the most viral sandwich recipes — and they did not disappoint! 🥪🔥
Which one would you try first?
Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 

Recipes:
Croissant Sandwich - https://vt.tiktok.com/ZSrkGE8fj/
Chopped Italian Sandwich - https://vt.tiktok.com/ZSrkGWTpg/
Watermelon Caprese Sandwich - https://vt.tiktok.com/ZSrktesh4/
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'sandwich', 'sandwich recipes', 'recipes', 'tiktok', 'tiktok recipes', 'viral recipes', 'viral tiktok', 'viral sandwich', 'watermelon', 'watermelon sandwich', 'italian sandwich', 'croissant sandwich', 'croissant', 'sandwiches', 'cooking', 'comedy', 'funny']",2025-04-04T04:18:06Z,192229,9338,0,140,PT14M12S,hd,true
l_ZjWTuxxG0,Tina Yong,I did THIS to increase my milk supply,,"['increase milk suppy', 'breastfeeding', 'how to', 'mom life', 'tina yong', 'pumping', 'milk stash']",2025-04-01T05:46:24Z,153353,3756,0,28,PT43S,hd,false
nlOzTI0H5Hk,Tina Yong,"This isn’t just a drink, it’s a whole vibe","Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'matcha', 'matcha latte', 'matcha drink', 'ice matcha', 'matcha strawberry', 'strawberry matcha', 'strawberry matcha latte', 'drink', 'viral drink', 'viral match', 'matcha recipe', 'recipe', 'drink recipe', 'viral recipe', 'tiktok', 'tiktok recipe', 'tiktok drink', 'cafe drink', 'cafe', 'cafe matcha']",2025-03-29T02:25:31Z,30636,1510,0,8,PT50S,hd,false
_lf2KiQPrhE,Tina Yong,I Tried Healthy Mason Jar Recipes 🫙 *quick & easy*,"Trying out viral mason jar recipes from TikTok! Quick, easy and healthy recipes that tastes good? Let's see if these are worth the hype? 👀

Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 

Viral Recipes:
Blended oats - https://vt.tiktok.com/ZSrRVe8yk/
Noodle soup - https://vt.tiktok.com/ZSrR4oxbg/
Salad - https://vt.tiktok.com/ZSrR4oLv3/
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'mason jars', 'maison jars', 'jars', 'jar recipes', 'mason jar recipes', 'recipes', 'cooking', 'food', 'tiktok', 'viral recipes', 'viral food', 'tiktok recipes', 'food recipes', 'noodles', 'salad', 'healthy recipes', 'overnight oats', 'chocolate', 'fast recipes', 'easy recipes', 'instant recipes', 'diy food', 'cooking recipes', 'viral tiktok recipes']",2025-03-27T06:27:47Z,220148,11498,0,164,PT14M,hd,true
rRN5eR3J0Bo,Tina Yong,Trying Celebrity outfits 👀,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it', 'tina', 'clothing', 'clothes', 'celebrity', 'kpop', 'kpop idol', 'kpop clothing', 'idol clothing', 'jennie', 'blackpink', 'jennie clothing', 'dress up', 'pov', 'expectation vs reality', 'bella poarch', 'IU', 'park bom', 'blackpink clothing', 'kpop clothes', 'idol clothes', 'trendy clothes', 'vietnam fashion', 'kpop fashion', 'idol fashion', 'kpop idol fashion', 'celebrity fashion', 'vietnam shopping', 'shopping', 'shopping spree']",2025-03-26T12:44:55Z,37961,1667,0,34,PT22S,hd,false
PE9nK4UvEo4,Tina Yong,What I eat after giving birth,"Don’t forget to like and subscribe to join the fam 🩷  https://bit.ly/2JFCtDr 
____________________________
🦋 Follow Me 🦋
Instagram: https://www.instagram.com/tina_yong/
TikTok: https://www.tiktok.com/@tina_yong

💟 Shop My Beauty Brand 💟
The Petite Club: https://coreelle.com/collections/the-petite-club 
TikTok: https://www.tiktok.com/@thepetiteclub
Instagram: https://www.instagram.com/petiteclubofficial/","['Tina Yong', 'Tina Young', 'Tina tries it']",2025-03-22T01:00:16Z,59380,4155,0,44,PT52S,hd,false
