video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
Mz1uKXmkW6g,Tressuni,This lash serum is crazy!,,,2025-04-29T14:51:52Z,8423,251,0,3,PT34S,hd,false
IFLc-hrXLfk,Tressuni,I liked these potatoes more than fries as a kid,,,2025-04-27T13:59:45Z,26901,878,0,11,PT26S,hd,false
9xkBtfC0miM,Tressuni,When a Korean-American tries to cook Paneer Butter Masala,"0:00 Intro
5:34 The paste & spice prep
10:14 Paneer
12:58 Final Cooking
17:03 The Review

Recipe link - https://www.youtube.com/watch?v=bUounn_Bmy4 


Instagram - https://www.instagram.com/tressuni 
Tiktok - https://www.tiktok.com/@tressuni 

Music: Epidemic Sound

Edited by: Moi & @designbykeis",,2025-04-27T13:00:13Z,30611,2013,0,345,PT24M50S,hd,false
O7ipOK7-VRE,Tressuni,Your thoughts is your greatest enemy,,,2025-04-25T13:18:06Z,14931,830,0,14,PT1M1S,hd,false
nHLFbFIBkz4,Tressuni,Asian moms when the bill comes out,,,2025-04-22T19:52:16Z,22300,939,0,17,PT27S,hd,false
hbQxP1kPVKQ,Tressuni,High Fiber & High Protein side dish!,,,2025-04-20T15:17:29Z,26069,946,0,10,PT30S,hd,false
enxRHWagMIU,Tressuni,Your friend that gossips wrong 😑,,,2025-04-16T14:35:30Z,26399,941,0,17,PT1M5S,hd,false
LfnM55vUqkE,Tressuni,The BEST Girl dinner,,,2025-04-13T14:14:51Z,112606,1741,0,14,PT7S,hd,false
vYTC8RbBld8,Tressuni,Five course meal using ONLY Korean Frozen Foods,"0:00 Intro
2:12 Appetizer 1
5:28 Appetizer 2
8:29 Pasta dish
11:44 Entree
14:23 Dessert


Instagram - https://www.instagram.com/tressuni 
Tiktok - https://www.tiktok.com/@tressuni 

Music: Epidemic Sound

Edited by: Moi & @designbykeis",,2025-04-13T13:01:33Z,4354,255,0,23,PT16M42S,hd,false
KmaeoMr7_v4,Tressuni,Do you want Like or Love?,,,2025-04-11T15:06:31Z,28875,1190,0,16,PT1M1S,hd,false
95lsGCcimXY,Tressuni,Are Korean moms fighting or celebrating?,,,2025-04-08T15:39:39Z,31318,1094,0,17,PT16S,hd,false
